date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];hourIndex;weekDayIndex
2022-04-05 02:00:00 +0000;16;9;8.5;0;0;2;3
2022-04-05 04:00:00 +0000;34;20;24.2;1;0;4;3
2022-04-05 19:00:00 +0000;16;9;9.4;0;0;19;3
2022-04-06 01:00:00 +0000;33;19;23.5;1;0;1;4
2022-04-06 02:00:00 +0000;36;21;25.1;1;1;2;4
2022-04-06 03:00:00 +0000;46;27;33.5;1;1;3;4
2022-04-06 04:00:00 +0000;73;43;47.8;2;1;4;4
2022-04-06 05:00:00 +0000;42;25;30.7;1;0;5;4
2022-04-06 06:00:00 +0000;21;12;15.1;1;1;6;4
2022-04-06 09:00:00 +0000;32;19;19.4;1;0;9;4
2022-04-06 10:00:00 +0000;12;7;7.2;0;0;10;4
2022-04-06 19:00:00 +0000;20;12;16.5;1;0;19;4
2022-04-06 21:00:00 +0000;52;30;37.6;2;1;21;4
2022-04-06 22:00:00 +0000;36;21;20.9;1;0;22;4
2022-04-06 23:00:00 +0000;219;128;139.7;6;1;23;4
2022-04-07 00:00:00 +0000;221;129;162.0;7;0;0;5
2022-04-07 01:00:00 +0000;9;5;6.4;0;0;1;5
2022-04-07 05:00:00 +0000;12;7;5.2;0;0;5;5
2022-04-07 07:00:00 +0000;9;5;7.4;0;0;7;5
2022-04-07 08:00:00 +0000;10;6;8.0;0;0;8;5
2022-04-07 09:00:00 +0000;8;5;5.5;0;0;9;5
2022-04-07 10:00:00 +0000;54;32;37.6;2;1;10;5
2022-04-07 11:00:00 +0000;116;68;77.2;3;0;11;5
2022-04-07 12:00:00 +0000;60;35;36.5;2;1;12;5
2022-04-08 01:00:00 +0000;24;14;17.9;1;0;1;6
2022-04-08 22:00:00 +0000;16;9;11.4;0;0;22;6
2022-04-09 03:00:00 +0000;47;27;34.7;1;0;3;7
2022-04-09 04:00:00 +0000;42;25;31.7;1;1;4;7
2022-04-09 09:00:00 +0000;435;254;243.0;10;0;9;7
2022-04-09 10:00:00 +0000;437;255;243.5;10;0;10;7
2022-04-09 11:00:00 +0000;128;75;85.0;4;1;11;7
2022-04-09 12:00:00 +0000;73;43;41.6;2;1;12;7
2022-04-10 02:00:00 +0000;19;11;12.3;1;0;2;1
2022-04-10 06:00:00 +0000;375;219;224.5;9;0;6;1
2022-04-10 07:00:00 +0000;3296;1925;2053.9;86;2;7;1
2022-04-10 08:00:00 +0000;43;25;28.1;1;1;8;1
2022-04-10 13:00:00 +0000;24;14;13.2;1;0;13;1
2022-04-10 19:00:00 +0000;87;51;55.2;2;1;19;1
2022-04-10 20:00:00 +0000;36;21;25.2;1;1;20;1
2022-04-10 21:00:00 +0000;16;9;6.7;0;0;21;1
2022-04-11 06:00:00 +0000;144;84;94.9;4;1;6;2
2022-04-11 07:00:00 +0000;29;17;14.9;1;0;7;2
2022-04-11 08:00:00 +0000;82;48;48.7;2;1;8;2
2022-04-11 09:00:00 +0000;56;33;40.7;2;0;9;2
2022-04-11 10:00:00 +0000;70;41;48.6;2;1;10;2
2022-04-11 12:00:00 +0000;187;109;129.8;5;0;12;2
2022-04-11 13:00:00 +0000;96;56;64.2;3;1;13;2
2022-04-11 14:00:00 +0000;58;34;37.0;2;0;14;2
2022-04-11 15:00:00 +0000;41;24;30.6;1;0;15;2
2022-04-11 16:00:00 +0000;49;29;32.0;1;1;16;2
2022-04-11 17:00:00 +0000;16;9;7.4;0;0;17;2
2022-04-11 18:00:00 +0000;182;106;126.3;5;2;18;2
2022-04-12 07:00:00 +0000;11;6;5.5;0;0;7;3
2022-04-12 08:00:00 +0000;2619;1530;1470.2;62;1;8;3
2022-04-12 09:00:00 +0000;5654;3303;3314.1;139;0;9;3
2022-04-12 10:00:00 +0000;2079;1214;1254.4;52;1;10;3
2022-04-12 11:00:00 +0000;81;47;53.3;2;1;11;3
2022-04-12 16:00:00 +0000;12;7;7.1;0;0;16;3
2022-04-12 22:00:00 +0000;16;9;11.4;0;0;22;3
2022-04-13 09:00:00 +0000;4128;2411;2833.7;119;1;9;4
2022-04-13 10:00:00 +0000;3879;2266;3064.7;128;1;10;4
2022-04-13 11:00:00 +0000;63;37;38.0;2;1;11;4
2022-04-13 12:00:00 +0000;25;15;17.1;1;0;12;4
2022-04-13 13:00:00 +0000;51;30;30.9;1;1;13;4
2022-04-13 16:00:00 +0000;1404;820;840.1;35;1;16;4
2022-04-13 17:00:00 +0000;1780;1040;1203.7;50;1;17;4
2022-04-13 18:00:00 +0000;62;36;42.0;2;1;18;4
2022-04-13 19:00:00 +0000;13;8;9.1;0;0;19;4
2022-04-14 08:00:00 +0000;65;38;41.5;2;1;8;5
2022-04-14 12:00:00 +0000;35;20;23.0;1;0;12;5
2022-04-14 13:00:00 +0000;4751;2775;3473.8;145;4;13;5
2022-04-14 14:00:00 +0000;5319;3107;4010.9;168;0;14;5
2022-04-14 15:00:00 +0000;4391;2565;3308.3;138;1;15;5
2022-04-14 16:00:00 +0000;17;10;13.2;1;0;16;5
2022-04-14 17:00:00 +0000;40;23;28.6;1;1;17;5
2022-04-14 20:00:00 +0000;8;5;3.9;0;0;20;5
2022-04-14 22:00:00 +0000;11;6;8.2;0;0;22;5
2022-04-14 23:00:00 +0000;22;13;15.7;1;0;23;5
2022-04-15 07:00:00 +0000;98;57;67.4;3;0;7;6
2022-04-15 08:00:00 +0000;30;18;22.1;1;1;8;6
2022-04-15 11:00:00 +0000;12;7;8.3;0;0;11;6
2022-04-15 12:00:00 +0000;68;40;47.7;2;0;12;6
2022-04-15 13:00:00 +0000;4207;2457;3198.0;134;1;13;6
2022-04-15 14:00:00 +0000;6221;3600;4953.8;207;4;14;6
2022-04-15 15:00:00 +0000;687;401;548.8;23;0;15;6
2022-04-15 16:00:00 +0000;69;40;47.9;2;1;16;6
2022-04-15 18:00:00 +0000;22;13;15.0;1;0;18;6
2022-04-16 10:00:00 +0000;230;134;157.0;7;0;10;7
2022-04-16 11:00:00 +0000;208;121;141.8;6;0;11;7
2022-04-16 12:00:00 +0000;36;21;26.2;1;1;12;7
2022-04-16 14:00:00 +0000;3;2;2.0;0;0;14;7
2022-04-16 15:00:00 +0000;405;237;291.8;12;2;15;7
2022-04-16 16:00:00 +0000;6137;3585;4585.1;192;1;16;7
2022-04-16 17:00:00 +0000;3587;2095;2673.5;112;2;17;7
