sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 07:03:26 +0000,2022-03-11 07:03:42 +0000,km,0.022710000000000036
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 08:11:18 +0000,2022-03-11 08:16:17 +0000,km,0.29090000000000055
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 08:23:20 +0000,2022-03-11 08:33:21 +0000,km,0.6711699999999969
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 08:33:21 +0000,2022-03-11 08:43:04 +0000,km,0.6583700000000026
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 08:50:18 +0000,2022-03-11 08:50:41 +0000,km,0.02396000000000049
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 09:17:21 +0000,2022-03-11 09:17:24 +0000,km,0.006880000000000109
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 10:26:59 +0000,2022-03-11 10:27:25 +0000,km,0.0189699999999998
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 10:42:03 +0000,2022-03-11 10:42:18 +0000,km,0.015820000000000164
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 14:08:27 +0000,2022-03-11 14:10:39 +0000,km,0.023800000000000182
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 17:31:28 +0000,2022-03-11 17:31:36 +0000,km,0.013140000000000327
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-11 21:16:59 +0000,2022-03-11 21:17:01 +0000,km,0.006300000000000182
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-12 12:03:33 +0000,2022-03-12 12:03:36 +0000,km,0.004
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-12 18:02:31 +0000,2022-03-12 18:09:54 +0000,km,0.012759999999999763
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-12 18:25:52 +0000,2022-03-12 18:25:54 +0000,km,0.011039999999999963
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-12 19:58:44 +0000,2022-03-12 19:58:55 +0000,km,0.002369999999999891
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 01:21:10 +0000,2022-03-13 01:28:25 +0000,km,0.05260000000000127
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 01:46:41 +0000,2022-03-13 01:52:29 +0000,km,0.04474000000000024
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 02:14:37 +0000,2022-03-13 02:14:43 +0000,km,0.007460000000000036
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 08:28:16 +0000,2022-03-13 08:31:12 +0000,km,0.011520000000000436
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 11:29:30 +0000,2022-03-13 11:37:59 +0000,km,0.01732000000000062
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 13:28:41 +0000,2022-03-13 13:28:43 +0000,km,0.0021300000000001092
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 15:08:53 +0000,2022-03-13 15:08:55 +0000,km,0.002869999999999891
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 17:47:21 +0000,2022-03-13 17:54:57 +0000,km,0.0413100000000004
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 18:13:55 +0000,2022-03-13 18:14:11 +0000,km,0.005880000000000109
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 18:38:31 +0000,2022-03-13 18:43:07 +0000,km,0.024659999999999856
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-13 19:47:05 +0000,2022-03-13 19:51:13 +0000,km,0.027329999999999927
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 00:20:45 +0000,2022-03-14 00:20:47 +0000,km,0.01168000000000029
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 00:37:00 +0000,2022-03-14 00:37:02 +0000,km,0.007039999999999964
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 12:12:11 +0000,2022-03-14 12:12:14 +0000,km,0.0033599999999996727
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 14:34:04 +0000,2022-03-14 14:34:17 +0000,km,0.009340000000000145
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 17:38:44 +0000,2022-03-14 17:38:59 +0000,km,0.01805000000000018
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 19:20:57 +0000,2022-03-14 19:20:59 +0000,km,0.0068999999999996365
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 19:46:23 +0000,2022-03-14 19:46:36 +0000,km,0.015710000000000945
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 23:04:46 +0000,2022-03-14 23:04:52 +0000,km,0.003509999999999309
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-14 23:42:36 +0000,2022-03-14 23:48:02 +0000,km,0.01792000000000007
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 00:06:19 +0000,2022-03-15 00:06:27 +0000,km,0.0074399999999996
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 00:32:15 +0000,2022-03-15 00:37:50 +0000,km,0.007829999999999927
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 02:14:23 +0000,2022-03-15 02:14:26 +0000,km,0.007039999999999964
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 02:49:45 +0000,2022-03-15 02:56:33 +0000,km,0.047659999999999855
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 03:21:44 +0000,2022-03-15 03:30:31 +0000,km,0.04695000000000073
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 18:05:40 +0000,2022-03-15 18:05:43 +0000,km,0.0044399999999996
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 20:48:59 +0000,2022-03-15 20:49:01 +0000,km,0.012779999999999745
